mpg,cylinders,displacement,hp,weight,acceleration,year,territory,carname
23.5,6.0,173.0,110.0,2725.0,12.6,1981,USA,chevrolet citation
30.0,4.0,135.0,84.0,2385.0,12.9,1981,USA,plymouth reliant
39.1,4.0,79.0,58.0,1755.0,16.9,1981,Japan,toyota starlet
39.0,4.0,86.0,64.0,1875.0,16.4,1981,USA,plymouth champ
35.1,4.0,81.0,60.0,1760.0,16.1,1981,Japan,honda civic 1300
32.3,4.0,97.0,67.0,2065.0,17.8,1981,Japan,subaru
37.0,4.0,85.0,65.0,1975.0,19.4,1981,Japan,datsun 210 mpg
37.7,4.0,89.0,62.0,2050.0,17.3,1981,Japan,toyota tercel
34.1,4.0,91.0,68.0,1985.0,16.0,1981,Japan,mazda glc 4
34.7,4.0,105.0,63.0,2215.0,14.9,1981,USA,plymouth horizon 4
34.4,4.0,98.0,65.0,2045.0,16.2,1981,USA,ford escort 4w
29.9,4.0,98.0,65.0,2380.0,20.7,1981,USA,ford escort 2h
33.0,4.0,105.0,74.0,2190.0,14.2,1981,Europe,volkswagen jetta
34.5,4.0,100.0,,2320.0,15.8,1981,Europe,renault 18i
33.7,4.0,107.0,75.0,2210.0,14.4,1981,Japan,honda prelude
32.4,4.0,108.0,75.0,2350.0,16.8,1981,Japan,toyota corolla
32.9,4.0,119.0,100.0,2615.0,14.8,1981,Japan,datsun 200sx
31.6,4.0,120.0,74.0,2635.0,18.3,1981,Japan,mazda 626
28.1,4.0,141.0,80.0,3230.0,20.4,1981,Europe,peugeot 505s turbo diesel
,4.0,121.0,110.0,2800.0,15.4,1981,Europe,saab 900s
30.7,6.0,145.0,76.0,3160.0,19.6,1981,Europe,volvo diesel
25.4,6.0,168.0,116.0,2900.0,12.6,1981,Japan,toyota cressida
24.2,6.0,146.0,120.0,2930.0,13.8,1981,Japan,datsun 810 maxima
22.4,6.0,231.0,110.0,3415.0,15.8,1981,USA,buick century
26.6,8.0,350.0,105.0,3725.0,19.0,1981,USA,oldsmobile cutlass ls
20.2,6.0,200.0,88.0,3060.0,17.1,1981,USA,ford granada gl
17.6,6.0,225.0,85.0,3465.0,16.6,1981,USA,chrysler lebaron salon
28.0,4.0,112.0,88.0,2605.0,19.6,1982,USA,chevrolet cavalier
27.0,4.0,112.0,88.0,2640.0,18.6,1982,USA,chevrolet cavalier wagon
34.0,4.0,112.0,88.0,2395.0,18.0,1982,USA,chevrolet cavalier 2-door
31.0,4.0,112.0,85.0,2575.0,16.2,1982,USA,pontiac j2000 se hatchback
29.0,4.0,135.0,84.0,2525.0,16.0,1982,USA,dodge aries se
27.0,4.0,151.0,90.0,2735.0,18.0,1982,USA,pontiac phoenix
24.0,4.0,140.0,92.0,2865.0,16.4,1982,USA,ford fairmont futura
23.0,4.0,151.0,,3035.0,20.5,1982,USA,amc concord dl
36.0,4.0,105.0,74.0,1980.0,15.3,1982,Europe,volkswagen rabbit l
37.0,4.0,91.0,68.0,2025.0,18.2,1982,Japan,mazda glc custom l
31.0,4.0,91.0,68.0,1970.0,17.6,1982,Japan,mazda glc custom
38.0,4.0,105.0,63.0,2125.0,14.7,1982,USA,plymouth horizon miser
36.0,4.0,98.0,70.0,2125.0,17.3,1982,USA,mercury lynx l
36.0,4.0,120.0,88.0,2160.0,14.5,1982,Japan,nissan stanza xe
36.0,4.0,107.0,75.0,2205.0,14.5,1982,Japan,honda accord
34.0,4.0,108.0,70.0,2245.0,16.9,1982,Japan,toyota corolla
38.0,4.0,91.0,67.0,1965.0,15.0,1982,Japan,honda civic
32.0,4.0,91.0,67.0,1965.0,15.7,1982,Japan,honda civic (auto)
38.0,4.0,91.0,67.0,1995.0,16.2,1982,Japan,datsun 310 gx
25.0,6.0,181.0,110.0,2945.0,16.4,1982,USA,buick century limited
38.0,6.0,262.0,85.0,3015.0,17.0,1982,USA,oldsmobile cutlass ciera (diesel)
26.0,4.0,156.0,92.0,2585.0,14.5,1982,USA,chrysler lebaron medallion
22.0,6.0,232.0,112.0,2835.0,14.7,1982,USA,ford granada l
32.0,4.0,144.0,96.0,2665.0,13.9,1982,Japan,toyota celica gt
36.0,4.0,135.0,84.0,2370.0,13.0,1982,USA,dodge charger 2.2
27.0,4.0,151.0,90.0,2950.0,17.3,1982,USA,chevrolet camaro
27.0,4.0,140.0,86.0,2790.0,15.6,1982,USA,ford mustang gl
44.0,4.0,97.0,52.0,2130.0,24.6,1982,Europe,vw pickup
32.0,4.0,135.0,84.0,2295.0,11.6,1982,USA,dodge rampage
28.0,4.0,120.0,79.0,2625.0,18.6,1982,USA,ford ranger
31.0,4.0,119.0,82.0,2720.0,19.4,1982,USA,chevy s-10
